source,target,similarity
know,got,0.8192357420921326
get,going,0.930151641368866
life,back,0.6476038098335266
feel,going,0.7999604344367981
ever,life,0.7736970782279968
say,going,0.8051509261131287
going,life,0.7021497488021851
like,going,0.7684230804443359
shit,bitch,0.6937353014945984
say,know,0.8846396207809448
ever,feel,0.7708110213279724
going,back,0.8415806889533997
keep,time,0.798089325428009
fuck,rip,0.52201247215271
say,said,0.7216280102729797
people,time,0.6684391498565674
got,run,0.8010134696960449
know,feel,0.8649749159812927
sleep,keep,0.5461509227752686
get,keep,0.9209042191505432
feel,keep,0.774867057800293
ever,going,0.8171871304512024
know,back,0.6950131058692932
man,going,0.6384422779083252
said,dick,0.5183648467063904
ever,people,0.6827073693275452
happen,back,0.6139520406723022
like,life,0.7600557208061218
keep,life,0.6700341105461121
people,feel,0.7151409387588501
got,get,0.907751202583313
people,sleep,0.5337953567504883
feel,like,0.7498108744621277
get,reason,0.8092339634895325
people,happen,0.6299306154251099
time,reason,0.7956559062004089
feel,reason,0.8050535917282104
got,happen,0.6746776103973389
said,run,0.5167822241783142
feel,insane,0.5650725960731506
happen,time,0.7457168698310852
ever,say,0.7584217190742493
going,keep,0.8895034790039062
say,man,0.6527441143989563
keep,back,0.8610493540763855
sleep,get,0.588862419128418
feel,get,0.8173736929893494
know,like,0.8342301249504089
get,run,0.7313995957374573
people,run,0.5582258701324463
got,time,0.827892005443573
know,happen,0.864797830581665
run,reason,0.5917816162109375
said,happen,0.5662131905555725
say,run,0.6020618677139282
ever,get,0.7989426255226135
people,man,0.6293947696685791
got,back,0.8865200877189636
know,get,0.8988933563232422
ever,run,0.7099614143371582
man,like,0.7184023261070251
life,run,0.5532304644584656
say,happen,0.7748598456382751
ever,reason,0.8004849553108215
like,happen,0.6509625315666199
man,reason,0.6178816556930542
going,reason,0.836884081363678
say,feel,0.766055703163147
got,life,0.6411791443824768
know,said,0.6509791612625122
sleep,going,0.5771663188934326
get,time,0.8155953884124756
feel,time,0.6712601184844971
ever,keep,0.7481834292411804
man,keep,0.6068945527076721
say,time,0.698500394821167
like,time,0.7168949842453003
keep,run,0.7157473564147949
people,said,0.5911010503768921
got,like,0.7446422576904297
sleep,feel,0.5949106216430664
people,know,0.7493892312049866
fuck,bitch,0.6941980719566345
get,back,0.8303219079971313
people,going,0.6714082360267639
feel,back,0.6483513712882996
reason,back,0.6673025488853455
know,life,0.7425773739814758
sleep,life,0.6126615405082703
feel,life,0.7189480662345886
happen,life,0.6346726417541504
said,back,0.5517839789390564
fuck,nigga,0.6490254402160645
sleep,like,0.5005170702934265
said,get,0.5998029112815857
got,keep,0.8096972703933716
know,going,0.8802505135536194
said,time,0.565563976764679
say,life,0.6778044700622559
happen,going,0.8708827495574951
man,life,0.7748084664344788
say,back,0.6711289286613464
like,back,0.7160458564758301
say,get,0.8439022302627563
people,like,0.7063897848129272
got,said,0.6132701635360718
people,reason,0.6888297200202942
got,reason,0.715158224105835
said,like,0.5668706297874451
time,run,0.7978179454803467
nigga,bitch,0.6342584490776062
know,keep,0.7954046726226807
man,get,0.6799349784851074
ever,back,0.7469412684440613
man,back,0.6812067627906799
say,people,0.8246383666992188
ever,man,0.7385884523391724
shit,fuck,0.7262601852416992
say,got,0.7067614197731018
fuck,niggas,0.5016732811927795
get,happen,0.769772469997406
sleep,happen,0.5710248947143555
life,reason,0.7367097735404968
feel,happen,0.765552282333374
ever,time,0.8586344718933105
rip,like,0.5110683441162109
man,time,0.6787849068641663
say,keep,0.8003464937210083
ever,know,0.7779772281646729
going,run,0.7840391993522644
like,keep,0.770883321762085
ever,got,0.7776336669921875
got,man,0.7408434748649597
sleep,know,0.5758763551712036
people,keep,0.6711732745170593
know,run,0.5895696878433228
sleep,time,0.5489416718482971
feel,run,0.5043201446533203
ever,happen,0.7400185465812683
happen,run,0.5261414051055908
know,reason,0.8701098561286926
said,reason,0.632580041885376
happen,reason,0.8547224998474121
like,run,0.6261044144630432
people,got,0.6122012734413147
feel,man,0.6652603149414062
time,back,0.8587620854377747
got,going,0.8800320029258728
said,keep,0.5588746070861816
happen,keep,0.6976960301399231
man,run,0.5869429707527161
say,reason,0.8747939467430115
going,time,0.8708207011222839
like,reason,0.71356600522995
say,like,0.796609103679657
keep,reason,0.7902371287345886
people,get,0.711279034614563
got,feel,0.7560604810714722
people,back,0.5901994109153748
know,man,0.7318188548088074
get,life,0.6866248846054077
people,life,0.697536289691925
said,man,0.5609217882156372
time,life,0.7818606495857239
know,time,0.7644534111022949
run,back,0.7889630794525146
said,going,0.576484739780426
like,get,0.8115348219871521
ever,like,0.7477670907974243
shit,nigga,0.56221604347229